T14,Gross domestic product and gross domestic product per capita,,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
15,Northern Africa,2018,GDP in current prices (millions of US dollars),707628.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
15,Northern Africa,2019,GDP in current prices (millions of US dollars),742309.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
15,Northern Africa,2020,GDP in current prices (millions of US dollars),762151.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
15,Northern Africa,1995,GDP per capita (US dollars),1285.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
15,Northern Africa,2005,GDP per capita (US dollars),1946.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
15,Northern Africa,2010,GDP per capita (US dollars),3177.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
15,Northern Africa,2015,GDP per capita (US dollars),3405.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
15,Northern Africa,2018,GDP per capita (US dollars),2989.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
15,Northern Africa,2019,GDP per capita (US dollars),3078.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
15,Northern Africa,2020,GDP per capita (US dollars),3103.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
15,Northern Africa,1995,GDP in constant 2010 prices (millions of US dollars),354415.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
15,Northern Africa,2005,GDP in constant 2010 prices (millions of US dollars),556909.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
15,Northern Africa,2010,GDP in constant 2010 prices (millions of US dollars),696188.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
15,Northern Africa,2015,GDP in constant 2010 prices (millions of US dollars),760531.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
15,Northern Africa,2018,GDP in constant 2010 prices (millions of US dollars),861759.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
15,Northern Africa,2019,GDP in constant 2010 prices (millions of US dollars),870118.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
15,Northern Africa,2020,GDP in constant 2010 prices (millions of US dollars),834346.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
15,Northern Africa,1995,GDP real rates of growth (percent),2.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
15,Northern Africa,2005,GDP real rates of growth (percent),6.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
15,Northern Africa,2010,GDP real rates of growth (percent),4.90,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
15,Northern Africa,2015,GDP real rates of growth (percent),3.70,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
15,Northern Africa,2018,GDP real rates of growth (percent),4.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
15,Northern Africa,2019,GDP real rates of growth (percent),1.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
15,Northern Africa,2020,GDP real rates of growth (percent),-4.10,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
202,Sub-Saharan Africa,1995,GDP in current prices (millions of US dollars),380887.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
202,Sub-Saharan Africa,2005,GDP in current prices (millions of US dollars),757110.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
202,Sub-Saharan Africa,2010,GDP in current prices (millions of US dollars),1335838.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
202,Sub-Saharan Africa,2015,GDP in current prices (millions of US dollars),1597872.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
202,Sub-Saharan Africa,2018,GDP in current prices (millions of US dollars),1719384.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
202,Sub-Saharan Africa,2019,GDP in current prices (millions of US dollars),1778697.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
202,Sub-Saharan Africa,2020,GDP in current prices (millions of US dollars),1652443.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
202,Sub-Saharan Africa,1995,GDP per capita (US dollars),686.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
202,Sub-Saharan Africa,2005,GDP per capita (US dollars),1050.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
202,Sub-Saharan Africa,2010,GDP per capita (US dollars),1599.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
202,Sub-Saharan Africa,2015,GDP per capita (US dollars),1669.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
202,Sub-Saharan Africa,2018,GDP per capita (US dollars),1657.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
202,Sub-Saharan Africa,2019,GDP per capita (US dollars),1670.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
202,Sub-Saharan Africa,2020,GDP per capita (US dollars),1512.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
202,Sub-Saharan Africa,1995,GDP in constant 2010 prices (millions of US dollars),609412.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
202,Sub-Saharan Africa,2005,GDP in constant 2010 prices (millions of US dollars),945620.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
202,Sub-Saharan Africa,2010,GDP in constant 2010 prices (millions of US dollars),1257257.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
202,Sub-Saharan Africa,2015,GDP in constant 2010 prices (millions of US dollars),1597872.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
202,Sub-Saharan Africa,2018,GDP in constant 2010 prices (millions of US dollars),1705262.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
202,Sub-Saharan Africa,2019,GDP in constant 2010 prices (millions of US dollars),1753581.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
202,Sub-Saharan Africa,2020,GDP in constant 2010 prices (millions of US dollars),1719178.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
202,Sub-Saharan Africa,1995,GDP real rates of growth (percent),3.30,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
202,Sub-Saharan Africa,2005,GDP real rates of growth (percent),6.30,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
202,Sub-Saharan Africa,2010,GDP real rates of growth (percent),6.50,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
202,Sub-Saharan Africa,2015,GDP real rates of growth (percent),3.30,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
202,Sub-Saharan Africa,2018,GDP real rates of growth (percent),2.90,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
202,Sub-Saharan Africa,2019,GDP real rates of growth (percent),2.80,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
202,Sub-Saharan Africa,2020,GDP real rates of growth (percent),-2.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
14,Eastern Africa,1995,GDP in current prices (millions of US dollars),70614.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
14,Eastern Africa,2005,GDP in current prices (millions of US dollars),114715.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
14,Eastern Africa,2010,GDP in current prices (millions of US dollars),232444.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
14,Eastern Africa,2015,GDP in current prices (millions of US dollars),324886.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
14,Eastern Africa,2018,GDP in current prices (millions of US dollars),398781.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
14,Eastern Africa,2019,GDP in current prices (millions of US dollars),433522.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
