T14,Gross domestic product and gross domestic product per capita,,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
442,Luxembourg,2005,GDP per capita (US dollars),82250.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
442,Luxembourg,2010,GDP per capita (US dollars),110574.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
442,Luxembourg,2015,GDP per capita (US dollars),105952.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
442,Luxembourg,2018,GDP per capita (US dollars),117974.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
442,Luxembourg,2019,GDP per capita (US dollars),114004.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
442,Luxembourg,2020,GDP per capita (US dollars),117182.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
442,Luxembourg,1995,GDP in constant 2010 prices (millions of US dollars),30592.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
442,Luxembourg,2005,GDP in constant 2010 prices (millions of US dollars),47065.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
442,Luxembourg,2010,GDP in constant 2010 prices (millions of US dollars),53991.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
442,Luxembourg,2015,GDP in constant 2010 prices (millions of US dollars),60047.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
442,Luxembourg,2018,GDP in constant 2010 prices (millions of US dollars),65147.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
442,Luxembourg,2019,GDP in constant 2010 prices (millions of US dollars),67286.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
442,Luxembourg,2020,GDP in constant 2010 prices (millions of US dollars),66091.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
442,Luxembourg,1995,GDP real rates of growth (percent),1.40,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
442,Luxembourg,2005,GDP real rates of growth (percent),2.50,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
442,Luxembourg,2010,GDP real rates of growth (percent),3.80,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
442,Luxembourg,2015,GDP real rates of growth (percent),2.30,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
442,Luxembourg,2018,GDP real rates of growth (percent),2.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
442,Luxembourg,2019,GDP real rates of growth (percent),3.30,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
442,Luxembourg,2020,GDP real rates of growth (percent),-1.80,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
450,Madagascar,1995,GDP in current prices (millions of US dollars),3668.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
450,Madagascar,2005,GDP in current prices (millions of US dollars),5849.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
450,Madagascar,2010,GDP in current prices (millions of US dollars),9983.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
450,Madagascar,2015,GDP in current prices (millions of US dollars),11323.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
450,Madagascar,2018,GDP in current prices (millions of US dollars),13760.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
450,Madagascar,2019,GDP in current prices (millions of US dollars),14105.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
450,Madagascar,2020,GDP in current prices (millions of US dollars),13008.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
450,Madagascar,1995,GDP per capita (US dollars),272.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
450,Madagascar,2005,GDP per capita (US dollars),319.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
450,Madagascar,2010,GDP per capita (US dollars),472.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
450,Madagascar,2015,GDP per capita (US dollars),467.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
450,Madagascar,2018,GDP per capita (US dollars),524.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
450,Madagascar,2019,GDP per capita (US dollars),523.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
450,Madagascar,2020,GDP per capita (US dollars),470.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
450,Madagascar,1995,GDP in constant 2010 prices (millions of US dollars),6387.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
450,Madagascar,2005,GDP in constant 2010 prices (millions of US dollars),8628.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
450,Madagascar,2010,GDP in constant 2010 prices (millions of US dollars),9925.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
450,Madagascar,2015,GDP in constant 2010 prices (millions of US dollars),11323.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
450,Madagascar,2018,GDP in constant 2010 prices (millions of US dollars),12629.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
450,Madagascar,2019,GDP in constant 2010 prices (millions of US dollars),13186.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
450,Madagascar,2020,GDP in constant 2010 prices (millions of US dollars),12153.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
450,Madagascar,1995,GDP real rates of growth (percent),1.70,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
450,Madagascar,2005,GDP real rates of growth (percent),4.60,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
450,Madagascar,2010,GDP real rates of growth (percent),0.60,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
450,Madagascar,2015,GDP real rates of growth (percent),3.10,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
450,Madagascar,2018,GDP real rates of growth (percent),3.20,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
450,Madagascar,2019,GDP real rates of growth (percent),4.40,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
450,Madagascar,2020,GDP real rates of growth (percent),-7.80,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
454,Malawi,1995,GDP in current prices (millions of US dollars),2474.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
454,Malawi,2005,GDP in current prices (millions of US dollars),3656.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
454,Malawi,2010,GDP in current prices (millions of US dollars),6960.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
454,Malawi,2015,GDP in current prices (millions of US dollars),8216.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
454,Malawi,2018,GDP in current prices (millions of US dollars),9877.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
454,Malawi,2019,GDP in current prices (millions of US dollars),11146.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
454,Malawi,2020,GDP in current prices (millions of US dollars),11762.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
454,Malawi,1995,GDP per capita (US dollars),251.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
454,Malawi,2005,GDP per capita (US dollars),290.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
454,Malawi,2010,GDP per capita (US dollars),479.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
454,Malawi,2015,GDP per capita (US dollars),491.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
454,Malawi,2018,GDP per capita (US dollars),544.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
454,Malawi,2019,GDP per capita (US dollars),598.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
454,Malawi,2020,GDP per capita (US dollars),615.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
454,Malawi,1995,GDP in constant 2010 prices (millions of US dollars),2779.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
454,Malawi,2005,GDP in constant 2010 prices (millions of US dollars),3702.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
454,Malawi,2010,GDP in constant 2010 prices (millions of US dollars),5294.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
454,Malawi,2015,GDP in constant 2010 prices (millions of US dollars),8216.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
454,Malawi,2018,GDP in constant 2010 prices (millions of US dollars),10216.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
454,Malawi,2019,GDP in constant 2010 prices (millions of US dollars),10784.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
454,Malawi,2020,GDP in constant 2010 prices (millions of US dollars),10881.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
454,Malawi,1995,GDP real rates of growth (percent),9.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
454,Malawi,2005,GDP real rates of growth (percent),3.30,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
454,Malawi,2010,GDP real rates of growth (percent),6.90,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
454,Malawi,2015,GDP real rates of growth (percent),8.50,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
454,Malawi,2018,GDP real rates of growth (percent),4.40,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
454,Malawi,2019,GDP real rates of growth (percent),5.60,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
454,Malawi,2020,GDP real rates of growth (percent),0.90,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
458,Malaysia,1995,GDP in current prices (millions of US dollars),88833.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
458,Malaysia,2005,GDP in current prices (millions of US dollars),143534.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
458,Malaysia,2010,GDP in current prices (millions of US dollars),255018.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
458,Malaysia,2015,GDP in current prices (millions of US dollars),301355.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
458,Malaysia,2018,GDP in current prices (millions of US dollars),358712.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
458,Malaysia,2019,GDP in current prices (millions of US dollars),364684.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
458,Malaysia,2020,GDP in current prices (millions of US dollars),336664.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
458,Malaysia,1995,GDP per capita (US dollars),4336.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
458,Malaysia,2005,GDP per capita (US dollars),5587.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
458,Malaysia,2010,GDP per capita (US dollars),9041.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
458,Malaysia,2015,GDP per capita (US dollars),9955.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
458,Malaysia,2018,GDP per capita (US dollars),11378.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
458,Malaysia,2019,GDP per capita (US dollars),11414.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
458,Malaysia,2020,GDP per capita (US dollars),10402.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
458,Malaysia,1995,GDP in constant 2010 prices (millions of US dollars),117335.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
458,Malaysia,2005,GDP in constant 2010 prices (millions of US dollars),186898.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
458,Malaysia,2010,GDP in constant 2010 prices (millions of US dollars),232654.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
458,Malaysia,2015,GDP in constant 2010 prices (millions of US dollars),301355.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
458,Malaysia,2018,GDP in constant 2010 prices (millions of US dollars),348948.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
458,Malaysia,2019,GDP in constant 2010 prices (millions of US dollars),363962.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
458,Malaysia,2020,GDP in constant 2010 prices (millions of US dollars),343625.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
458,Malaysia,1995,GDP real rates of growth (percent),9.80,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
458,Malaysia,2005,GDP real rates of growth (percent),5.30,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
458,Malaysia,2010,GDP real rates of growth (percent),7.40,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
458,Malaysia,2015,GDP real rates of growth (percent),5.10,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
458,Malaysia,2018,GDP real rates of growth (percent),4.80,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
458,Malaysia,2019,GDP real rates of growth (percent),4.30,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
458,Malaysia,2020,GDP real rates of growth (percent),-5.60,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
462,Maldives,1995,GDP in current prices (millions of US dollars),566.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
462,Maldives,2005,GDP in current prices (millions of US dollars),1163.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
462,Maldives,2010,GDP in current prices (millions of US dollars),2588.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
462,Maldives,2015,GDP in current prices (millions of US dollars),4109.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
462,Maldives,2018,GDP in current prices (millions of US dollars),5301.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
462,Maldives,2019,GDP in current prices (millions of US dollars),5608.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
462,Maldives,2020,GDP in current prices (millions of US dollars),3743.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
462,Maldives,1995,GDP per capita (US dollars),2228.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
462,Maldives,2005,GDP per capita (US dollars),3640.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
462,Maldives,2010,GDP per capita (US dollars),7077.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
462,Maldives,2015,GDP per capita (US dollars),9033.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
462,Maldives,2018,GDP per capita (US dollars),10279.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
462,Maldives,2019,GDP per capita (US dollars),10562.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
462,Maldives,2020,GDP per capita (US dollars),6924.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
462,Maldives,1995,GDP in constant 2010 prices (millions of US dollars),1408.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
462,Maldives,2005,GDP in constant 2010 prices (millions of US dollars),2106.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
462,Maldives,2010,GDP in constant 2010 prices (millions of US dollars),3117.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
462,Maldives,2015,GDP in constant 2010 prices (millions of US dollars),4109.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
462,Maldives,2018,GDP in constant 2010 prices (millions of US dollars),5066.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
462,Maldives,2019,GDP in constant 2010 prices (millions of US dollars),5414.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
462,Maldives,2020,GDP in constant 2010 prices (millions of US dollars),3600.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
462,Maldives,1995,GDP real rates of growth (percent),7.10,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
462,Maldives,2005,GDP real rates of growth (percent),-13.10,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
462,Maldives,2010,GDP real rates of growth (percent),7.30,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
462,Maldives,2015,GDP real rates of growth (percent),2.90,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
462,Maldives,2018,GDP real rates of growth (percent),8.10,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
462,Maldives,2019,GDP real rates of growth (percent),6.90,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
462,Maldives,2020,GDP real rates of growth (percent),-33.50,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
466,Mali,1995,GDP in current prices (millions of US dollars),2837.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
466,Mali,2005,GDP in current prices (millions of US dollars),6245.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
466,Mali,2010,GDP in current prices (millions of US dollars),10679.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
466,Mali,2015,GDP in current prices (millions of US dollars),13095.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
466,Mali,2018,GDP in current prices (millions of US dollars),17071.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
466,Mali,2019,GDP in current prices (millions of US dollars),17282.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
466,Mali,2020,GDP in current prices (millions of US dollars),17332.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
466,Mali,1995,GDP per capita (US dollars),296.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
466,Mali,2005,GDP per capita (US dollars),489.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
466,Mali,2010,GDP per capita (US dollars),710.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
466,Mali,2015,GDP per capita (US dollars),751.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
466,Mali,2018,GDP per capita (US dollars),895.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
466,Mali,2019,GDP per capita (US dollars),879.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
466,Mali,2020,GDP per capita (US dollars),856.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
466,Mali,1995,GDP in constant 2010 prices (millions of US dollars),2175.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
466,Mali,2005,GDP in constant 2010 prices (millions of US dollars),5328.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
466,Mali,2010,GDP in constant 2010 prices (millions of US dollars),8812.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
466,Mali,2015,GDP in constant 2010 prices (millions of US dollars),13095.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
466,Mali,2018,GDP in constant 2010 prices (millions of US dollars),16251.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
466,Mali,2019,GDP in constant 2010 prices (millions of US dollars),17274.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
466,Mali,2020,GDP in constant 2010 prices (millions of US dollars),17255.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
466,Mali,1995,GDP real rates of growth (percent),37.20,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
466,Mali,2005,GDP real rates of growth (percent),10.40,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
466,Mali,2010,GDP real rates of growth (percent),10.90,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
466,Mali,2015,GDP real rates of growth (percent),7.50,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
466,Mali,2018,GDP real rates of growth (percent),6.80,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
466,Mali,2019,GDP real rates of growth (percent),6.30,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
466,Mali,2020,GDP real rates of growth (percent),-0.10,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
470,Malta,1995,GDP in current prices (millions of US dollars),3720.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
470,Malta,2005,GDP in current prices (millions of US dollars),6406.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
470,Malta,2010,GDP in current prices (millions of US dollars),9027.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
